car,year,firm_id,firm_name,division,model,segm1,Quantity,Price,wheel_base,length,width,weight,disp,hp,mpg_city,mpg_highway
0,1996,3,HONDA,Acura,SLX,32,2565,34320,108.7,178.9,72.4,4315,3.2,190,14,18
0,1996,19,GM,Chevrolet,Astro,21,125962,19152,110,189.8,77.5,3398,4.3,190,17,22
0,1996,19,GM,Chevrolet,Blazer,32,246307,17406,107,176.8,65.4,3365,4.3,165,16,21
0,1996,19,GM,Chevrolet,Express/VAN,22,80203,21987,135,218.7,79.2,4641,4.3,195,15,19
0,1996,19,GM,Chevrolet,S10,41,190178,10125,108.3,178.2,64.7,2773,2.2,118,23,28
0,1996,19,GM,Chevrolet,Silverado C/K,42,550594,14361,117.5,194.5,76.8,3829,4.3,190,16,21
0,1996,19,GM,Chevrolet,Suburban,33,94010,21046,131.5,219.5,77,5230,5.7,210,13,17
0,1996,19,GM,Chevrolet,Tahoe,33,246307,16116,111.5,188,77.1,4282,5.7,255,14,17
0,1996,19,GM,Chevrolet,Tracker,31,47188,14885,97.6,158.7,64.4,2434,1.6,95,24,26
0,1996,19,GM,Chevrolet,Venture,21,31230,19890,109.8,191.5,73.9,3366,3.4,180,19,26
0,1996,16,CHRYSLER,Chrysler,Town & country,21,84828,24975,113.3,186.4,75.6,3863,3.3,158,18,23
0,1996,16,CHRYSLER,Dodge,Caravan,21,300117,17135,113.3,186.3,75.6,3528,2.4,150,20,25
0,1996,16,CHRYSLER,Dodge,Dakota,41,104754,13665,111.9,195.3,69.4,3042,2.5,120,21,25
0,1996,16,CHRYSLER,Dodge,Ram,42,383960,19629,134.7,224.1,79.4,4760,5.9,235,12,16
0,1996,16,CHRYSLER,Dodge,Ram van/wagon,22,81489,19378,109.6,187.2,79.8,4243,3.9,175,15,17
0,1996,18,FORD,Ford,Aerostar,21,73685,17745,118.9,174.9,71.7,3402,3,135,18,24
0,1996,18,FORD,Ford,Econoline van/wagon,22,143791,20585,138,211.9,79.3,5121,4.9,150,12,16
0,1996,18,FORD,Ford,Expedition,33,82807,27910,119.1,204.6,78.6,4827,4.6,215,15,20
0,1996,18,FORD,Ford,Explorer,32,402663,21470,111.5,188.5,70.2,3915,4,160,18,23
0,1996,18,FORD,Ford,F series,42,780838,16455,133,213.3,79,4310,4.9,145,14,18
0,1996,18,FORD,Ford,Ranger,41,288393,10910,107.9,184.3,69.4,2918,2.3,100,22,27
0,1996,18,FORD,Ford,Windstar,21,209033,20145,120.7,201.2,75.4,3733,3,145,17,25
0,1996,19,GM,GMC,Jimmy/Envoy,32,77838,21769,107,181,67.8,3692,4.3,190,17,22
0,1996,19,GM,GMC,Safari,21,39999,19222,111,189.8,77.5,3885,4.3,190,17,22
0,1996,19,GM,GMC,Savana,22,30000,22507,135,218.8,79.2,4641,4.3,195,15,19
0,1996,19,GM,GMC,Sierra,42,172406,14701,117.5,194.5,76.8,3869,4.3,165,15,21
0,1996,19,GM,GMC,Sonoma,41,44629,11775,108.3,188.8,67.9,2930,2.2,118,23,30
0,1996,19,GM,GMC,Suburban Yukon XLon xL,33,43161,24682,131.5,220,76.7,4634,5.7,250,13,18
0,1996,19,GM,GMC,Yukon Denali,33,36566,25751,117.5,199.6,76.4,4779,5.7,255,13,17
0,1996,3,HONDA,Honda,Odyssey,21,27025,24365,111.4,187.2,70.6,3473,2.2,140,21,26
0,1996,3,HONDA,Honda,Passport,32,28184,18385,108.7,184,69.5,3705,2.6,120,18,22
0,1996,13,ISUZU,Isuzu,Hombre,41,10165,11484,108.3,189,64.9,3125,2.2,118,23,30
0,1996,13,ISUZU,Isuzu,Oasis,21,2128,23940,111.4,187.2,70.6,3473,2.3,150,20,24
0,1996,13,ISUZU,Isuzu,Rodeo,32,61071,17785,108.7,184,69.5,3705,2.6,120,19,22
0,1996,13,ISUZU,Isuzu,Trooper,32,18495,25805,108.7,183.5,69.5,4275,3.2,190,16,18
0,1996,16,CHRYSLER,Jeep,Cherokee,32,148544,16183,101.4,167.5,69.4,2955,2.5,125,20,23
0,1996,16,CHRYSLER,Jeep,Grand Cherokee,32,279195,25103,105.9,177.1,70.9,3614,4,190,15,21
0,1996,16,CHRYSLER,Jeep,Wrangler,31,81444,13495,93.4,147.7,66.7,3073,2.5,140,19,21
0,1996,30,KIA,Kia,Sportage,31,9908,14220,104.3,159.3,68.1,3159,2,130,19,23
0,1996,32,LAND,Land Rover,Discovery,32,15491,30575,100,178.7,70.6,4379,4,182,13,18
0,1996,32,LAND,Land Rover,Range Rover,34,7085,55625,108.1,185.5,74.4,4960,4,190,13,17
0,1996,1,TOYOTA,Lexus,LX450 LX470,34,7528,47995,112.2,189.8,76,4834,4.5,212,13,15
0,1996,18,FORD,lincoln mercury,Mountaineer,32,26700,27765,111.5,188.5,70.2,3950,4,211,15,20
0,1996,18,FORD,lincoln mercury,Villager,21,65587,20495,112.2,189.9,73.8,4003,3,151,17,23
0,1996,4,MAZDA,Mazda,B-series,41,42815,10420,107.9,184.5,69.4,2918,2.3,112,22,27
0,1996,4,MAZDA,Mazda,MPV,21,14427,21945,110.4,183.5,71.9,3515,3,155,16,22
0,1996,10,MITSUBIS,Mitsubishi,Montero,32,12083,28890,107.3,185.2,66.7,4285,3,177,16,18
0,1996,2,NISSAN,Nissan,Frontier,41,127081,11404,104.3,174.6,65,2740,2.4,134,23,27
0,1996,2,NISSAN,Nissan,Pathfinder,32,73686,22804,106.3,178.3,68.7,3675,3.3,168,17,20
0,1996,2,NISSAN,Nissan,Quest,21,46636,21304,112.2,189.9,73.7,3979,3,151,17,23
0,1996,19,GM,Oldsmobile,Bravada,32,15471,29995,107,181,66.5,4184,4.3,190,16,21
0,1996,19,GM,Oldsmobile,Silhouette,21,9330,23200,109.8,194.7,73.9,3704,3.4,120,19,26
0,1996,16,CHRYSLER,Plymouth,Voyager,21,153862,17135,113.3,186.3,76.8,3516,2.4,150,20,25
0,1996,19,GM,Pontiac,MONTANA TRANS SPORT Sport,21,21397,19939,109.8,192.2,74.6,3593,3.4,120,19,26
0,1996,31,SUZUKI,Suzuki,Sport,31,20140,18389,97.6,158.7,64.4,2917,1.8,120,23,25
0,1996,1,TOYOTA,Toyota,4 Runner,32,99597,21413,105.3,178.7,66.5,3440,2.7,150,19,22
0,1996,1,TOYOTA,Toyota,Land Cruiser,34,12850,40678,112.2,189.8,76,4834,4.7,212,13,15
0,1996,1,TOYOTA,Toyota,Previa,21,8520,24738,112.8,187,70.8,3755,2.4,161,18,22
0,1996,1,TOYOTA,Toyota,RAV4,38,56709,16068,94.9,162,66.7,2612,2,120,24,30
0,1996,1,TOYOTA,Toyota,T100,41,37926,14868,121.8,209.1,75.2,3320,2.7,150,17,21
0,1996,1,TOYOTA,Toyota,Tacoma,41,142281,12448,103.3,173.2,66.5,2560,2.4,142,23,28
0,1996,7,VOLKS,volkswagen,Eurovan,21,995,31000,115,188.5,72.4,4220,2.8,140,15,20
1,1996,3,HONDA,acura ,Integar,2,46966,16100,101.2,172.4,67.3,2529,1.8,142,25,31
1,1996,3,HONDA,acura ,RL,5,15948,41000,114.6,195.1,71.3,3660,3.5,210,19,25
1,1996,3,HONDA,acura ,TL,5,24700,27900,111.8,191.5,70.3,3252,2.5,176,20,25
1,1996,7,VOLKS,audi,A6,5,9908,32300,105.8,192.6,70.2,3428,2.8,172,19,25
1,1996,7,VOLKS,audi ,A4,5,15319,26500,103,178,68.2,2976,2.8,172,19,28
1,1996,8,BMW,bmw,318i,5,46788,25950,106.3,174.5,66.9,2976,1.8,138,23,31
1,1996,8,BMW,bmw,525i,5,22775,35300,108.7,185.8,68.9,3728,4,282,20,26
1,1996,8,BMW,bmw,740i,5,17174,62490,120.9,201.7,73.3,4288,4.4,282,17,24
1,1996,8,BMW,bmw,m z3 m3,5,15040,28750,96.3,158.5,66.6,2690,1.9,138,23,31
1,1996,19,GM,buick,century,3,72433,16720,104.9,189.1,69.4,2950,2.2,120,24,31
1,1996,19,GM,buick,lesabre,4,131316,21380,110.8,200,74.9,3430,3.8,205,19,30
1,1996,19,GM,buick,park avenue ,5,47732,28205,110.8,205.9,74.1,3533,3.8,205,19,28
1,1996,19,GM,buick,regal,3,86847,19445,107.5,193.9,72.5,3232,3.1,160,20,29
1,1996,19,GM,buick,riviera,5,20641,30010,113.8,207.2,75,3690,3.8,205,19,28
1,1996,19,GM,buick,roadmaster,4,17112,25560,115.9,215.8,78.1,4211,5.7,260,17,26
1,1996,19,GM,buick,skylark,2,51269,15495,103.4,188.4,68.2,2917,2.4,150,22,32
1,1996,19,GM,cadillac,deville,5,103730,35995,113.8,209.7,76.6,3959,4.6,275,17,26
1,1996,19,GM,cadillac,eldorado,5,20964,39595,108,202.2,75.5,3765,4.6,275,17,26
1,1996,19,GM,cadillac,fleetwood/brougham,5,10200,36995,121.5,225.2,78,4477,5.7,260,17,26
1,1996,19,GM,cadillac,seville,5,33809,42995,111,204.4,74.2,3832,4.6,275,17,26
1,1996,19,GM,chevrolet,camaro,2,66866,14990,101,193.2,74.1,3306,3.8,200,19,29
1,1996,19,GM,chevrolet,caprice,4,46261,19905,115.9,214.1,77.5,4061,4.3,200,18,26
1,1996,19,GM,chevrolet,cavalier,2,277222,10500,104.1,180.3,67.4,2617,2.2,120,25,31
1,1996,19,GM,chevrolet,corsica,2,149117,14385,103.4,183.4,68.5,2745,2.2,120,24,31
1,1996,19,GM,chevrolet,corvette,5,17805,37225,96.2,178.6,70.7,3298,5.7,300,17,25
1,1996,19,GM,chevrolet,lumina,3,237973,16355,107.5,200.9,72.5,3330,3.1,160,20,29
1,1996,19,GM ,chevrolet,monte carlo,3,79593,17255,107.5,200.7,72.5,3306,3.1,160,20,29
1,1996,19,GM,chevrolet,metro,1,88773,8380,93.1,149.4,62.6,1808,1,55,44,49
1,1996,19,GM,chevrolet,geo prizm,1,79288,12495,97,173,66.3,2359,1.6,105,31,30
1,1996,16,CHRYSLER,chrysler,cirrus,3,36007,17560,108,186,71.7,3148,2.4,150,20,29
1,1996,16,CHRYSLER,chrysler,concord,4,52106,19445,113,201.5,74.4,3492,3.3,161,19,27
